TID,English Term,English Definition,Spanish Term,Spanish Definition
30,Asymptote,"A line that the graph of a function gets closer to as x or y gets larger in absolute value, which is known as an asymptote.",Asíntota,"Línea recta a la que la gráfica de una función se acerca indefinidamente, mientras el valor absoluto de x o y aumenta, y que se conoce como asíntota."
31,Asymptotic behavior,A graph that approaches an asymptote exhibits asymptotic behavior.,Comportamiento asintótico,Una gráfica que se aproxima a una asíntota demuestra un comportamiento asintótico.
32,Augmented matrix,An augmented matrix is a matrix that shows all coefficients and constants in a system of equations.,Matriz aumentada,Una matriz aumentada es una matriz que muestra todos los coeficientes y las constantes en un sistema de ecuaciones.
33,Auxiliary line,An auxiliary line is a line that is added to a diagram to help explain relationships in proofs.,Línea auxiliar,Una línea auxiliar es aquella que se le agrega a un diagrama para explicar la relación entre pruebas.
37,Axis of symmetry,The axis of symmetry is the line that divides a figure into two parts that are mirror images.,Eje de simetría,El eje de simetría es la recta que divide una figura en dos partes que son imágenes una de la otra.
41,Bias,A bias is a systematic error introduced by the sampling method.,Sesgo,El sesgo es un error sistemático introducido por medio del método de muestreo.
42,Biconditional,A biconditional statement is the combination of a conditional statement and its converse. A biconditional contains the words &quot;if and only if.&quot;,Bicondicional,Un enunciado bicondicional es la combinación de un enunciado condicional y su recíproco. El enunciado bicondicional incluye las palabras &quot;si y solo si&quot;.
43,Bimodal,A bimodal data set has two modes.,Bimodal,Un conjunto bimodal de datos tiene dos modas.
44,Binomial,A binomial is a polynomial of two terms.,Binomio,Polinomio compuesto de dos términos que forman un binomio.
45,Binomial distribution,A binomial distribution is a probability distribution that shows the probabilities of the outcomes of a binomial experiment.,Distribución binomial,Una distribución binomial es una distribución de probabilidad que muestra las probabilidades de los resultados de un experimento binomial.
46,Binomial experiment,"A binomial experiment is one in which the situation involves repeated trials. Each trial has two possible outcomes (success or failure), and the probability of success is constant throughout the trials.",Experimento binomial,"Un experimento binomial es un experimento que requiere varios ensayos. Cada ensayo tiene dos resultados posibles (éxito o fracaso), y la probabilidad de éxito es constante durante todos los ensayos."
49,Bivariate,A set of data that uses two variables is bivariate.,Bivariado,Un conjunto de datos que usa dos variables es bivariado.
50,Box-and-whisker plot,A box-and-whisker plot is a graph that summarizes data along a number line. The left whisker extends from the minimum to the first quartile. The box extends from the first quartile to the third quartile and has a vertical line through the median. The right whisker extends from the third quartile to the maximum.,Gráfica de cajas y bigotes,Gráfica de cajas y bigotes que resume los datos a lo largo de una recta numérica. El bigote izquierdo se extiende desde el valor mínimo del primer cuartil. La caja se extiende desde el primer cuartil hasta el tercer cuartil y tiene una línea vertical que atraviesa la mediana. El bigote derecho se extiende desde el tercer cuartil hasta el valor máximo.
51,Branch,Each piece of a discontinuous graph is called a branch.,Rama,Cada segmento de una gráfica discontinua se llama rama.
52,Categorical variable,A categorical variable is a variable for which the possible values belong to the limited set of qualitative responses.,Variable categórica,Una variable categórica es una variable cuyos valores posibles pertenecen a un conjunto limitado de respuestas cualitativas.
53,Causation,When a change in one quantity causes a change in a second quantity. A correlation between quantities does not always imply causation.,Causalidad,Cuando un cambio en una cantidad causa un cambio en una segunda cantidad. Una correlación entre las cantidades no implica siempre la causalidad.
54,Cavalieri's Principle,"If two space figures have the same height and the same cross-sectional area at every level, then cavalieri's principle states that they have the same volume.",Principio de Cavalieri,"El principio de cavalieri establece que si dos figuras sólidas tienen la misma altura y la misma área transversal en todos los niveles, entonces también tienen el mismo volumen."
55,Ceiling function,A ceiling function is a function that rounds numbers up to the nearest integer.,unción techo,Función de unción techo que redondea los números hacia arriba al entero más cercano.
60,Center of rotation,A center of rotation is the fixed point of a rotation.,Centro de rotación,Un centro de rotación es el punto fijo de una rotación.
64,Chord,A chord of a circle is a segment whose endpoints are on the circle.,Cuerda,Una cuerda de un círculo es un segmento cuyos extremos son dos puntos del círculo.
69,Circumscribed about,A circle is circumscribed about a polygon if the vertices of the polygon are on the circle. A polygon is circumscribed about a circle if all the sides of the polygon are tangent to the circle.,Circunscrito a,Un círculo está circunscrito a un polígono si los vértices del polígono están en el círculo. Un polígono está circunscrito a un círculo si todos los lados del polígono son tangentes al círculo.
70,Closure property,A closure property of a set of numbers means that the set is closed under an operation when the result of the operation is also part of the same set of numbers.,Propiedad de cerradura,Un conjunto de números tiene la propiedad de cerradura para una operación cuando el resultado de la operación también forma parte del mismo conjunto de números.
71,Coefficient,The coefficient is a numerical factor when a term has a variable.,Coeficiente,El coeficiente es factor numérico de un término que contiene una variable.
72,Coefficient matrix,"When representing a system of equations with a matrix equation, the matrix containing the coefficients of the system is the coefficient matrix.",Matriz de coeficientes,"Al representar un sistema de ecuaciones con una ecuación de matriz, la matriz que contiene los coeficientes del sistema es la matriz de coeficientes."
73,Cofunction,A cofunction is the trigonometric function for the complement of an angle.,Cofunción,Una cofunción es la función trigonométrica para el complemento de un ángulo.
74,Cofunction identities,A cofunction identities are the equation that represents a trigonometric function with an equivalent trigonometric function related to its complement.,Identidades de cofunción,Las identidades de cofunción son ecuaciones que representan una función trigonométrica con una función trigonométrica equivalente relacionada con su complemento.
75,Collinear points,Collinear points lie on the same line.,Puntos colineales,Los puntos colineales son los que están sobre la misma recta.
77,Combined variation,A combined variation is a relation in which one variable varies with respect to each of two or more variables.,Variación combinada,Una variación combinada es una relación en la que una variable varía con respecto a cada una de dos o más variables.
78,Common difference,The common difference is the difference between consecutive terms of an arithmetic sequence.,Diferencia común,La diferencia común es la diferencia entre los términos consecutivos de una progresión aritmética.
80,Common ratio,The fixed number known as the common ratio is used to find terms in a geometric sequence.,Razón común,Número constante que se usa como razón común para hallar los términos en una progresión geométrica.
81,Compass,A compass is a tool for drawing arcs and circles of different sizes and can be used to copy lengths.,Compás,"El compás es un instrumento usado para dibujar círculos y partes de círculos, llamados arcos."
84,Complementary angles,Two angles are complementary angles if the sum of their measures is 90 degrees.,Ángulos complementarios,Los ángulos complementarios son dos ángulos cuya suma de medidas es igual a 90 grados.
87,Complex fraction,"A complex fraction is a rational expression that has a fraction in its numerator or denominator, or in both its numerator and denominator.",Fracción compleja,"Una fracción compleja es una expresión racional en la que el numerador, el denominador o ambos son una fracción."
88,Complex number,"Complex numbers are numbers that can be written in the form a + bi, where a and b are real numbers and i is the square root of -1",Número complejo,Un número complejo es una combinación de números reales y números imaginarios.
90,Component form,The component form of a vector describes the horizontal and vertical change of position from the intial point to the terminal point of the vector.,Componentes de un vector,Los componentes de un vector describen el cambio de posición horizontal y vertical desde el punto de inicio hasta el punto terminal del vector.
91,Composite function,A composite function is a combination of two functions such that the output from the first function becomes the input for the second function.,Función compuesta,Una función compuesta es la combinación de dos funciones. La cantidad de salida de la primera función es la cantidad de entrada de la segunda función.
92,Composite space figures,A composite space figures are the combination of two or more figures into one object.,Figuras geométricas compuestas,Las figuras geométricas compuestas son la combinación de dos o más figuras en un mismo objeto.
93,Composition of functions,A composition of functions is the operation that forms composite functions.,Composición de funciones,Una composición de funciones es la operación que forma funciones compuestas.
95,Composition of transformations,A composition of transformations is a transformation in which a second transformation is performed on the image of a first transformation.,Composición de transformaciones,Una composición de transformaciones es una transformación en la cual una segunda transformación se realiza a partir de la imagen de la primera.
96,Compound event,A compound event is an event that consists of two or more events linked by the word and or the word or.,Suceso compuesto,Suceso compuesto que consiste en dos o más sucesos unidos por medio de la palabra y o la palabra o.
97,Compound fraction,A compound fraction is a fraction that has one or more fractions in the numerator and/or the denominator.,Fracción compuesta,Una fracción compuesta está en forma de fracción y tiene una o más fracciones en el numerador o el denominador.
98,Compound inequalities,"Two inequalities that are joined by and or or, which together form the compound inequalities.",Desigualdades compuestas,Dos desigualdades compuestas que están enlazadas por medio de una y o una o.
99,Compound interest,Interest paid on both the principal and the interest that has already been accumulated as compound interest.,Interés compuesto,Interés compuesto es aquel interés calculado tanto sobre el capital como sobre los intereses ya pagados.
100,Compound interest formula,This compound interest formula is an exponential model that is used to calculate the value of an investment when interest is compounded.,Fórmula de interés compuesto,Esta fórmula de interés compuesto es un modelo exponencial que se usa para calcular el valor de una inversión cuando el interés es compuesto.
101,Compound statement,A compound statement is a statement formed by combining two or more statements.,Enunciado compuesto,Un enunciado compuesto es un enunciado que combina dos o más enunciados.
102,Compression,A compression is a transformation that decreases the distance between corresponding points of a graph.,Compresión,Una compresión es una transformación que disminuye la distancia entre puntos que se corresponden en una gráfica.
104,Concentric circles,Concentric circles lie in the same plane and have the same center.,Círculos concéntricos,Los círculos concéntricos están en el mismo plano y tienen el mismo centro.
105,Conclusion,The conclusion is the part of an if-then statement (conditional) that follows then.,Conclusión,"La conclusión es lo que sigue a la palabra entonces en un enunciado (condicional), si . . ., entonces. . . ."
106,Concurrent lines,Concurrent lines are three or more lines that meet in one point. The point at which they meet is the point of concurrency.,Rectas concurrentes,Las rectas concurrentes son tres o más rectas que se unen en un punto. El punto en que se unen es el punto de concurrencia.
107,Conditional,"A conditional is an if-then statement that relates a hypothesis, the part that follows if, to a conclusion, the part that follows then.",Condicional,"Un enunciado condicional es del tipo si . . ., entonces. . . ."
109,Conditional relative frequency,Conditional relative frequency is the quotient of a joint frequency in a two-way frequency table and the marginal frequency of the row or column in which the joint frequency appears.,Frecuencia relativa condicionada,UnaFfrecuencia relativa condicionada es el conciente deununafrecuencia conjuntaen una tabla de frecuencias de doble entraday la frecuencia marginal de la fila o columna enla que laqueaparece lafrecuencia conjuntade una tabla de frecuencias de doble entrada.aparece.
110,Cone,"A cone is a three-dimensional figure that has a circular base, a vertex not in the plane of the circle, and a curved lateral surface, as shown in the diagram. The altitude of a cone is the perpendicular segment from the vertex to the plane of the base. The height is the length of the altitude. In a right cone, the altitude contains the center of the base. The slant height of a right cone is the distance from the vertex to the edge of the base.",Cono,"Un cono es una figura tridimensional que tiene una base circular, un vértice que no está en el plano del círculo y una superficie lateral curvada (indicada en el diagrama). La altura de un cono es el segmento perpendicular desde el vértice hasta el plano de la base. La altura, por extensión, es la longitude de la altura. Un cono recto es un cono cuya altura contiene el centro de la base. La longitude de la generatriz de un cono recto es la distancia desde el vértice hasta el borde de la base."
112,Congruent angles,Congruent angles are angles that have the same measure.,Ángulos congruentes,Los ángulos congruentes son ángulos que tienen la misma medida.
113,Congruent arcs,Congruent arcs are arcs that have the same measure and are in the same circle or congruent circles.,Arcos congruentes,Arcos congruentes son arcos que tienen la misma medida y están en el mismo círculo o en círculos congruentes.
114,Congruent circles,Congruent circles are circles whose radii are congruent.,Círculos congruentes,Los círculos congruentes son círculos cuyos radios son congruentes.
115,Congruent figures,Two figures are congruent figures if there is a rigid motion that maps one figure on the other.,Figuras congruentes,Dos figuras son figuras congruentes si hay un movimiento rígido en el que una figura es imagen de la otra.
116,Congruent polygons,Congruent polygons are polygons that have corresponding sides congruent and corresponding angles congruent.,Polígonos congruentes,Los polígonos congruentes son polígonos cuyos lados correspondientes son congruentes y cuyos ángulos correspondientes son congruentes.
117,Congruent segments,Congruent segments are segments that have the same length.,Segmentos congruentes,Los segmentos congruentes son segmentos que tienen la misma longitud.
118,Conic section,A conic section is a curve formed by the intersection of a plane and a double cone.,Sección cónica,Una sección cónica es una curva que se forma por la intersección de un plano con un cono doble.
119,Conjecture,A conjecture is a conclusion reached by using inductive reasoning.,Conjetura,Una conjetura es una conclusión obtenida usando el razonamiento inductivo.
122,Conjugates,The sum and the difference of the same two terms are called conjugates.,Valores conjugados,La suma y resta de los mismos dos términos que se consideran como valores conjugados.
123,Conjunction,A conjunction is a compound statement formed by connecting two or more statements with the word and.,Conjunción,Una conjunción es un enunciado compuesto que conecta dos o más enunciados por medio de la palabra y.
124,Consecutive angles,Consecutive angles of a polygon share a common side,Ángulos consecutivos,Los ángulos consecutivos de un polígono tienen un lado común.
125,Consistent system,A system of linear equations is called consistent system if it has at least one solution.,Sistema consistente,Un sistema consistente de ecuaciones lineales es consistente si tiene por lo menos una solución.
127,Constant matrix,"When representing a system of equations with a matrix equation, the matrix containing the constants of the system is the constant matrix.",Matriz de constantes,"Al representar un sistema de ecuaciones con una ecuación matricial, la matriz que contiene las constantes del sistema es la matriz de constantes."
129,Constant of variation,The constant of variation is the ratio of the two variables in a direct variation and the product of the two variables in an inverse variation.,Constante de variación,La constante de variación es la razón de dos variables en una variación directa y el producto de las dos variables en una variación inversa.
130,Constant ratio,The constant ratio is the number that an exponential function repeatedly multiplies an initial amount by.,Razón constante,"El número por el que una cantidad inicial se multiplica repetidamente en una función exponencial, que se conoce como razón constante."
131,Constant term,A constant term is a term with no variables.,Término constante,Un término constante es un término que no tiene variables.
133,Construction,A construction is a geometric figure made with only a straightedge and compass.,Construcción,Una construcción es una figura geométrica trazada solamente con una regla sin graduación y un compás.
134,Continuous graph,"A continuous graph is a graph that has no jumps, breaks, or holes.",Gráfica continua,"Una gráfica continua es aquella que no tiene saltos, interrupciones o huecos."
135,Continuous probability distribution,A continuous probability distribution has as its events any of the infinitely many values in an interval of real numbers.,Distribución de probabilidad continua,Una distribución de probabilidad continua tiene como sucesos a cual quiera del número infinito de valores en un intervalo de números reales.
137,Contrapositive,"The contrapositive of the conditional ""if p, then q"" is the conditional ""if not q, then not p."" A conditional and its contrapositive always have the same truth value.",Contrapositivo,"El contrapositivo del condicional &quot;si p, entonces q&quot; es el condicional &quot;si no q, entonces no p&quot;. Un condicional y su contrapositivo siempre tienen el mismo valor verdadero."
138,Control group,"In an experiment, the group chosen to not receive the treatment is the control group.",Grupo controlado,"En un experimento, el grupo no manipulado es el grupo controlado."
139,Controlled experiment,"In a controlled experiment, you divide the sample into two groups. You impose a treatment on one group but not the other “control” group. Then you compare the effect on the treated group to the control group.",Experimento controlado,"En un experimento controlado, se divide la muestra en dos grupos. Uno de los grupos se manipula y el otro grupo “controlado” se mantiene en su estado original. Luego se comparan el estado del grupo manipulado y el estado del grupo controlado."
140,Convenience sample,In a convenience sample you select any members of the population who are conveniently and readily available.,Muestra de conveniencia,En una muestra de conveniencia se selecciona a cualquier miembro de la población que está convenientemente disponible.
142,Converse,The converse is the statement obtained by reversing the hypothesis and conclusion of a conditional.,Expresión recíproca,"Enunciado que se obtiene al intercambiar la hipótesis y la conclusión de un enunciado condicional, lo que se conoce como una expresión recíproca."
143,Conversion factor,A conversion factor is a ratio of two equivalent measures in different units.,Factor de conversión,Razón de dos medidas equivalentes en unidades diferentes que se utiliza como un factor de conversión.
145,Coordinate geometry,The analytical use of algebra to study geometric properties of figures drawn on the coordinate plane is called coordinate geometry.,Geometría de coordenadas,El uso analítico del álgebra para estudiar las propiedades geométricas de las figuras dibujadas en un plano de coordenadas mediante la geometría de coordenadas.
146,Coordinate plane,"The coordinate plane is formed by two number lines, called the axes, intersecting at right angles. The x-axis is the horizontal axis and the y-axis is the vertical axis. The two axes meet at the origin, O(0, 0). The axes divide the plane into four quadrants.",Plano de coordenadas,Se forma cuando dos rectas numéricas se cortan formando ángulos rectos en un plano de coordenadas.
148,Coordinate space,Coordinate space is a three-dimensional space where each point is described uniquely using an ordered triple of numbers.,Espacio de coordenadas,Un espacio de coordenadas es un espacio tridimensional en el cual cada punto es definido de manera única por una tripleta ordenada de números.
150,Coplanar figures,Coplanar figures are figures in the same plane.,Figuras coplanares,Las figuras coplanares son las figuras que están localizadas en el mismo plano.
151,Corollary,A corollary is a theorem that can be proved easily using another theorem.,Corolario,Un corolario es un teorema que se puede probar fácilmente usando otro teorema.
152,Correlation,A correlation indicates the strength of a relationship between two data sets.,Correlación,Una correlación indica la fuerza de una relación entre dos conjuntos de datos.
153,Correlation coefficient,"The correlation coefficient, r, indicates the strength of the correlation. The closer r is to 1 or –1, the more closely the data resembles a line and the more accurate your model is likely to be.",Coeficiente de correlación,"El coeficiente de correlación, r, indica la fuerza de la correlación. Mientras más cerca está r de 1 ó –1, más se parecen los datos a una línea y será más probable que tu modelo sea preciso."
155,Corresponding elements,Corresponding elements are elements in the same position in each matrix.,Elementos correspondientes,Los elementos correspondientes son elementos que se encuentran en la misma posición de cada matriz.
161,Coterminal angles,Two angles in standard position are coterminal angles if they have the same terminal side.,Ángulos coterminales,Dos ángulos coterminales que están en posición normal son aquellos que tienen el mismo lado terminal.
162,Counterexample,An example that serves as a counterexample by demonstrating that a statement is false.,Contraejemplo,Ejemplo que demuestra que un enunciado es falso y que actúa como un contraejemplo.
163,Co-vertices,The endpoints of the minor axis of an ellipse are the co-vertices of the ellipse.,Covértices,Los puntos de intersección entre una elipse y el eje menor son los covértices de la elipse.
166,Cross Products Property,The cross products property states that the product of the extremes of a proportion is equal to the product of the means.,Propiedad de los productos cruzados,La propiedad de los productos cruzados establece que el producto de los extremos de una proporción es igual al producto de los medios.
167,Cross section,A cross section is the intersection of a solid and a plane.,Sección de corte,Una sección de corte es la intersección de un plano y un cuerpo geométrico.
169,Cube root equation,The cube root equation is an equation that has a variable in the radicand or has a variable with a rational exponent with a denominator of 3.,Ecuación de raíz cúbica,La ecuación de raíz cúbica es una ecuación que lleva una variable en el radicando o que lleva una variable con un exponente racional cuyo denominador es 3.
170,Cube root function,A cube root function is the inverse of a cubic function.,Función de raíz cúbica,Una función de raíz cúbica es el inverso de una función cúbica.
172,Cumulative frequency table,A cumulative frequency table is a table that shows the number of data values that lie in or below the given intervals.,Tabla de frecuencia cumulativa,Tabla que muestra el número de valores de datos que están dentro o por debajo de los intervalos dados en la tabla de frecuencia cumulativa.
173,Cumulative probability,"When you can assign numerical values to events, cumulative probability is the probability that an event with a value less than or equal to a given value occurs.",Probabilidad acumulativa,"Cuando se puede a signarasignarvalores numéricos a los eventos, la probabilidad acumulativa es la probabilidad de que un evento con un valor que es menor que o igual a un valor dado ocurra."
175,Cylinder,"A cylinder is a three dimensional figure with two congruent circular bases that lie in parallel planes. An altitude of a cylinder is a perpendicular segment that joins the planes of the bases. Its length is the height of the cylinder. In a right cylinder, the segment joining the centers of the bases is an altitude. In an oblique cylinder, the segment joining the centers of the bases is not perpendicular to the planes containing the bases.",Cilindro,"Un cilindro es una figura tridimensional con dos bases congruentes circulares en planos paralelos. Una altura de un cilindro es un segmento perpendicular que une los planos de las bases. Su longitud es, por extensión, la altura del cilindro. En un cilindro recto, el segmento que une los centros de las bases es una altura. En un cilindro oblicuo, el segmento que une los centros de las bases no es perpendicular a los planos que contienen las bases."
176,Decagon,A decagon is a polygon with ten sides.,Decágono,Un decágono es un polígono de diez lados.
177,Decay factor,"1 minus the percent rate of change, expressed as a decimal, for an exponential decay situation, is known as the decay factor.",Factor de decremento,"1 menos la tasa porcentual de cambio, expresada como decimal, en una situación de reducción exponencial, es el factor de decremento."
178,Deductive reasoning,Deductive reasoning is a process of reasoning logically from given facts to a conclusion.,Razonamiento deductivo,El razonamiento deductivo es un proceso de razonamiento lógico que parte de hechos dados hasta llegar a una conclusión.
182,Dependent events,"When the outcome of one event affects the probability of a second event, the events are dependent events.",Sucesos dependientes,Dos sucesos dependientes son aquellos en los que el resultado de un suceso dependiente afecta la probabilidad del otro.
183,Dependent system,A system of equations that does not have a unique solution is a dependent system.,Sistema dependiente,Un sistema dependiente de ecuaciones es aquel que no tiene una solución única.
184,Dependent variable,A dependent variable is a variable that provides the output values of a function.,Variable dependiente,Variable dependiente es la variable de la que dependen los valores de salida de una función.
186,Determinant,The determinant of a square matrix is a real number that can be computed from its elements according to a specific formula.,Determinante,El determinante de una matriz cuadrada es un número real que se puede calcular a partir de sus elementos por medio de una fórmula específica.
196,Directrix,The directrix of a parabola is the fixed line used to define a parabola. Each point of the parabola is the same distance from the focus and the directrix.,Directriz,La directriz de una parábola es la recta fija con que se define una parábola. Cada punto de la parábola está a la misma distancia del foco y de la directriz.
197,Discontinuous graph,"A discontinuous graph is a graph that is discontinuous if it has a jump, break, or hole.",Gráfica discontinua,"Una gráfica discontinua es una gráfica que tiene un salto, interrupción o hueco."
198,Discrete graph,A discrete graph is a graph composed of isolated points.,Gráfica discreta,Una gráfica discreta es compuesta de puntos aislados.
199,Discrete probability distribution,A discrete probability distribution has a finite number of possible events.,Distribución de probabilidad discreta,Una distribución de probabilidad discreta tiene un número finito de sucesos posibles.
201,Disjoint sets,"Sets that do not have any elements in common, are referred to as disjoint sets.",Conjuntos ajenos,Conjuntos ajenos son aquellos conjuntos que no tienen elementos en común.
202,Disjunction,A disjunction is a compound statement formed by connecting two or more statements with the word or.,Disyunción,Una disyunción es un enunciado compuesto que conecta dos o más enunciados por medio de la palabra o.
207,Diverge,An infinite series diverges if it does not converge.,Divergir,"Una serie infinita diverge (es decir, divergir) si no es convergente."
208,Dodecagon,A dodecagon is a polygon with 12 sides.,Dodecágono,Un dodecágono es un polígono de 12 lados.
209,Domain,"The domain of a relation is the set of all inputs, or x-coordinates, of the ordered pairs.",Dominio,"El dominio de una relación es el conjunto de todos los valores de entrada, o coordenadas x, de los pares ordenados."
214,Elimination method,Elimination method is a method for solving a system of linear equations where you add or subtract the equations to eliminate a variable.,Eliminación,Método para resolver un sistema de ecuaciones lineales mediante la eliminación de una variable al sumar o restar las ecuaciones.
216,Empty set,"A set that does not contain any elements, is known as an empty set.",Conjunto vacío,Conjunto vacío es un conjunto que no contiene elementos.
217,End behavior,"End behavior of the graph of a function describes the directions of the graph as you move to the left and to the right, away from the origin.",Comportamiento extremo,"El comportamiento extremo de la gráfica de una función describe las direcciones de la gráfica al moverse a la izquierda y a la derecha, apartándose del origen."
220,Equal matrices,Equal matrices are matrices with the same dimensions and equal corresponding elements.,Matrices equivalentes,Dos matrices equivalentes son equivalentes si y sólo si tienen las mismas dimensiones y sus elementos correspondientes son iguales.
221,Equally likely outcomes,Equally likely outcomes are events in a sample space that have the same chance of occurring.,Resultados igualmente probables,Resultados igualmente probables son sucesos en un espacio muestral con la misma probabilidad de ocurrir.
222,Equation,An equation is a statement that shows that two algebraic expressions are equal.,Ecuación,Una ecuación es una expresión que muestra que dos expresiones algebraicas son iguales.
224,Equidistant,A point is equidistant from two objects if it is the same distance from the objects.,Equidistante,Un punto es equidistante de dos objetos si la distancia entre el punto y los objetos es igual.
226,Equivalent equations,Equations that have the same solution and are therefore equivalent equations.,Ecuaciones equivalentes,Ecuaciones equivalentes son aquellas ecuaciones que tienen la misma solución.
227,Equivalent expressions,Algebraic expressions that have the same value for all values of the variable(s) are known as equivalent expressions.,Expresiones equivalentes,Expresiones algebraicas que tienen el mismo valor para todos los valores de la(s) variable(s) y que se consideran expresiones equivalentes.
228,Equivalent inequalities,Inequalities that have the same set of solutions and are considered equivalent inequalities.,Desigualdades equivalentes,Las desigualdades equivalentes tienen el mismo conjunto de soluciones.
229,Equivalent statements,Equivalent statements are statements with the same truth value.,Enunciados equivalentes,Los enunciados equivalentes son enunciados con el mismo valor verdadero.
230,Equivalent systems,Equivalent systems are systems that have the same solution(s).,Sistemas equivalentes,Sistemas equivalentes son sistemas que tienen la misma solución o las mismas soluciones.
231,Euclidean geometry,Euclidean geometry is a geometry of the plane in which Euclid’s Parallel Postulate is accepted as true.,Geometría euclidiana,La geometría euclidiana es una geometría del plano en donde el postulado paralelo de Euclides es verdadero.
232,Evaluate,"To evaluate means to substitute a given number for each variable, and then simplify.",Evaluar,Método de sustituir cada variable por un número dado para luego simplificar la expresión mediante la acción de evaluar.
236,Expand,"To expand the power of a binomial, multiply as needed, then write the polynomial in standard form.",Expandir,"Para expandir la potencia de un binomio, multiplica como sea necesario. Luego, escribe el polinomio en forma normal."
237,Expected value,"The average value you can expect for a large number of trials of an experiment; the sum of each outcome's value multiplied by its probability, known as the expected value.",Valor esperado,El valor esperado es el valor promedio que se puede esperar para una cantidad grande de pruebas en un experimento; la suma de los valores de los resultados multiplicados cada uno por su probabilidad.
239,Experimental group,"In an experiment, the group chosen to receive the treatment is the experimental group.",Grupo experimental,"En un experimento, el grupo manipulado es el grupo experimental."
241,Explicit definition,An explicit definition allows any term in a sequence to be found without knowing the previous term.,Definición explícita,Una definición explícita permite hallar cualquier término de una progresión aunque no se conozca el término anterior.
242,Explicit formula,An explicit formula expresses the nth term of a sequence in terms of n.,Fórmula explícita,Una fórmula explícita expresa el n-ésimo término de una progresión en función de n.
243,Exponent,"A number that shows repeated multiplication, is referred to as an exponent.",Exponente,Denota el número de veces que el exponente debe multiplicarse.
252,Extraneous solution,An extraneous solution is a solution of an equation derived from an original equation that is not a solution of the original equation.,Solución extraña,Una solución extraña es una solución de una ecuación derivada que no es una solución de la ecuación original.
